市,city,cities,code,Area,socio-accessibility,gini,Diff.Accessibility,GDP,人口规模,Population Scale (million),Population Density (%),Economic Level (%),Urbanization Level (%)
上海市,上海,Shanghai,310000,Eastern,0.266203938,0.33610888,0.51524248,62508100,7.201744917,24.89,7.657292245,10.75188481,0.7552
深圳市,深圳,Shenzhen,440300,Eastern,0.33057988,0.312024078,0.438696205,28954070,5.016816153,17.791,6.650033223,10.90678133,0.5829
广州市,广州,Guangzhou,440100,Eastern,0.216728103,0.410331208,0.541615229,34968787,6.586433689,18.8106,6.88295016,10.78667641,0.4771
重庆市,重庆,Chongqing,500000,Western,0.234002416,0.392132713,0.397093416,22505600,8.048820232,32.12,5.939776438,8.996775795,0.419
苏州市,苏州,Suzhou,320500,Eastern,0.303408006,0.33196787,0.380680496,28015600,6.381765255,12.8478,6.545694428,10.77253992,0.4908
成都市,成都,Chengdu,510100,Western,0.243910307,0.426592695,0.512754709,18708046,6.951111659,21.192,6.755303156,9.800956364,0.5743
杭州市,杭州,Hangzhou,330100,Eastern,0.27307491,0.364833963,0.50211932,20997744,6.46580252,12.204,5.959225406,10.39876289,0.6117
武汉市,武汉,Wuhan,420100,Central,0.165100786,0.472959328,0.644544832,16621797,6.660818398,13.6489,6.82404753,9.973806211,0.608
南京市,南京,Nanjing,320100,Eastern,0.177820607,0.447247614,0.624920093,15763300,6.349541008,9.4234,6.767791816,10.21489836,0.6845
宁波市,宁波,Ningbo,330200,Eastern,0.316221903,0.336827086,0.401788863,17868542,6.308225938,9.544,6.373831604,10.39326317,0.3074
青岛市,青岛,Qingdao,370200,Eastern,0.197577673,0.421831045,0.488727122,17804200,6.580195211,10.2567,6.491997381,10.06040583,0.352
无锡市,无锡,Wuxi,320200,Eastern,0.249469315,0.376103781,0.496541709,19012200,6.092530856,7.4795,6.829004237,10.67255356,0.6164
长沙市,长沙,Changsha,430100,Central,0.369142524,0.292885109,0.452961813,9294858,6.399858695,10.02459148,6.232742669,9.603057907,0.4916
郑州市,郑州,Zhengzhou,410100,Central,0.212704155,0.4439654,0.569751452,11022770,6.493859734,12.742,6.78876902,9.744667656,0.57
佛山市,佛山,Foshan,440600,Eastern,0.243941233,0.390854279,0.510549131,13815951,5.841339089,9.6126,6.796365513,10.60767358,0.6977
济南市,济南,Jinan,370100,Eastern,0.330405672,0.31149654,0.404737121,13653256,6.367432184,9.3361,6.568695698,10.06857817,0.5102
济南市,莱芜,Jinan,370100,Eastern,0.330405672,0.31149654,0.404737121,13653256,6.367432184,9.3361,6.568695698,10.06857817,0.5102
合肥市,合肥,Hefei,340100,Central,0.206010226,0.418838187,0.613758907,4849623,6.123807734,9.465,6.411752584,9.279866435,0.3199
福州市,福州,Fuzhou,350100,Eastern,0.249286061,0.374640476,0.551817724,13476759,6.404997026,8.42,6.225350195,9.929155299,0.3415
泉州市,泉州,Quanzhou,350500,Eastern,0.242538981,0.383974012,0.460588025,13801105,6.496201674,8.85,6.413147433,9.820866524,0.5938
南通市,南通,Nantong,320600,Eastern,0.251669532,0.405324706,0.384804412,10067100,6.656237973,7.733,6.879252919,9.466841327,0.3021
东莞市,东莞,Dongguan,441900,Eastern,0.154146755,0.471004011,0.588184484,9479654,5.068652598,10.5368,6.469048746,11.00472971,0.858
西安市,西安,Xi'an,610100,Western,0.309354191,0.301266456,0.513292911,9416000,6.574489895,12.87,6.576190979,9.411892497,0.4366
常州市,常州,Changzhou,320400,Eastern,0.215476224,0.40975014,0.530409382,9014200,5.847074411,5.3496,6.673752984,10.17156623,0.6834
烟台市,烟台,Yantai,370600,Eastern,0.236003805,0.388531922,0.343254854,13160000,6.470520827,7.0828,6.152349643,9.914476947,0.3495
徐州市,徐州,Xuzhou,320300,Eastern,0.283879479,0.339693075,0.35619187,9057900,6.811970987,9.0285,6.693472356,9.209540052,0.7484
大连市,大连,Dalian,210200,Northeastern,0.170084683,0.444217472,0.550624852,16325900,6.328222457,6.036,6.0991748,10.28212945,0.475
温州市,温州,Wenzhou,330300,Eastern,0.253283518,0.387086452,0.396795143,12264424,6.60972653,9.645,6.445561077,9.714624648,0.743
沈阳市,沈阳,Shenyang,210100,Northeastern,0.149807321,0.466206432,0.665515526,16033795,6.535386398,7.653,6.274554843,10.05496323,0.6394
昆明市,昆明,Kunming,530100,Western,0.26993086,0.415232146,0.525044951,8120121,6.216186852,8.502,5.468987981,9.699656312,0.41
长春市,长春,Changchun,220100,Northeastern,0.376872974,0.293569415,0.395643663,13380369,6.576789852,9.0872,5.855501629,9.836546147,0.4318
厦门市,厦门,Xiamen,350200,Eastern,0.24662043,0.382419451,0.596033355,7596934,4.954135487,5.28,6.808829571,10.46336045,0.7067
潍坊市,潍坊,Weifang,370700,Eastern,0.324016254,0.329679947,0.278245602,10300000,6.742538596,9.4,6.281387856,9.405249044,0.2777
绍兴市,绍兴,Shaoxing,330600,Eastern,0.288945577,0.346707546,0.361003969,10892802,6.072675803,5.337,6.264312131,10.13122056,0.237
扬州市,扬州,Yangzhou,321000,Eastern,0.227638423,0.395983473,0.548611789,6472200,6.117237798,4.577,6.527621604,9.567315271,0.376
南昌市,南昌,Nanchang,360100,Central,0.268367679,0.351882774,0.571535659,6410248,6.110957232,6.437506,6.407754191,9.573732704,0.4336
盐城市,盐城,Yancheng,320900,Eastern,0.230792454,0.409604375,0.374836105,7433900,6.680239684,6.713,6.275910138,9.140990294,0.3385
嘉兴市,嘉兴,Jiaxing,330400,Eastern,0.234682829,0.413060199,0.465779382,8580276,5.808022363,5.516,6.745789138,10.15781965,0.3043
泰州市,泰州,Taizhou (Jiangsu),321200,Eastern,0.383833658,0.312988547,0.289018483,5800400,6.221901437,4.5218,6.768182819,9.351232111,0.4235
台州市,台州,Taizhou,331000,Eastern,0.337616786,0.313584504,0.289621394,9950324,6.314652509,6.661,6.375365477,9.800402224,0.2645
临沂市,临沂,Linyi,371300,Eastern,0.21500662,0.416556812,0.451758824,8346000,6.918744674,11.0195,6.377356002,9.019664011,0.2396
洛阳市,洛阳,Luoyang,410300,Central,0.189268453,0.450400875,0.595184068,6863165,6.459575762,7.069,6.040873567,9.289428778,0.2679
榆林市,榆林,Yulin (Shaanxi),610800,Western,0.289599289,0.34910782,0.23433012,1381020,5.852805746,3.62,4.380775853,8.290794347,0.4889
金华市,金华,Jinhua,330700,Eastern,0.239106285,0.390235903,0.367732836,8016023,6.109047563,7.12,6.021217505,9.788693795,0.2053
哈尔滨市,哈尔滨,Harbin,230100,Northeastern,0.186187243,0.453280984,0.600991504,14147991,6.860988566,9.43165,5.19201196,9.607235529,0.476
襄阳市,襄阳,Xiangyang,420600,Central,0.214288151,0.426591473,0.558255384,5033100,6.360507689,5.2711,5.681264163,9.071997422,0.2826
南宁市,南宁,Nanning,450100,Western,0.300375097,0.324442554,0.53349066,5025271,6.421085538,8.3328,5.619385858,8.971321472,0.2733
济宁市,济宁,Jining,370800,Eastern,0.252743778,0.399402207,0.354602057,8826100,6.683223264,8.3365,6.616961704,9.311361486,0.2862
漳州市,漳州,Zhangzhou,350600,Eastern,0.224138546,0.431549405,0.408708257,6033969,6.117943001,5.07,5.886187361,9.470625554,0.2773
宜昌市,宜昌,Yichang,420500,Central,0.207971594,0.438632367,0.53849492,4913566,5.983659164,3.9101,5.239416259,9.38353709,0.3994
惠州市,惠州,Huizhou,441300,Eastern,0.324745668,0.310830763,0.333949789,5909772,5.657249761,6.066,5.547674325,9.940686994,0.3906
镇江市,镇江,Zhenjiang,321100,Eastern,0.2435073,0.410076185,0.47874423,6405100,5.587960016,3.2172,6.543249756,10.08560075,0.4397
贵阳市,贵阳,Guiyang,520100,Western,0.204529797,0.437763811,0.617921524,3809191,5.843138538,6.1023,6.0620395,9.302190026,0.2257
淮安市,淮安,Huai'an,320800,Eastern,0.2124569,0.439856716,0.540626419,4206400,6.253674954,4.5622,6.246494287,9.000606508,0.2716
岳阳市,岳阳,Yueyang,430600,Central,0.211480212,0.460019609,0.398054806,4951877,6.268774262,5.032225347,5.870256904,9.148464968,0.3663
南阳市,南阳,Nanyang,411300,Central,0.34194852,0.307066302,0.251676295,7241573,6.960708195,9.629,5.989938383,8.826734598,0.4636
芜湖市,芜湖,Wuhu,340200,Central,0.375825353,0.303261502,0.413880841,2848538,5.410842157,3.672,6.514371892,9.456106101,0.406
淄博市,淄博,Zibo,370300,Eastern,0.226082303,0.414204145,0.493319878,10033800,6.023786519,4.7088,6.545004773,10.09901322,0.4419
